ID;DATE;HOUR;NUMITER;SWARMSIZE;W;C1;C2;CPR;BESTROUTE;TIME
108;610;2306;10;30;0.2;0.2;0.2;0.2;502.95;38.645
191;710;1050;10;30;0.2;0.5;0.5;1;504.3;38.85
187;710;1047;10;30;0.2;0.5;0.5;1;506.28;38.743
186;710;1046;10;30;0.2;0.5;0.5;1;506.59;38.7
82;610;2214;10;30;0.2;0.8;0.8;0.2;509.03;40.016
182;710;1043;10;30;0.2;0.5;0.5;1;510.61;40.615
96;610;2257;10;30;0.2;0.5;0.5;0.2;513.69;38.65
15;710;1111;10;30;0.2;0.2;0.2;1;515.18;39.645
197;710;1108;10;30;0.2;0.2;0.2;1;515.44;42.502
177;710;1022;10;30;0.2;0.8;0.8;1;516.48;40.736
193;710;1105;10;30;0.2;0.2;0.2;1;516.56;43.983
192;710;1104;10;30;0.2;0.2;0.2;1;523.63;40.946
175;710;1021;10;30;0.2;0.8;0.8;1;524.91;38.84
